DATE|CIVIC_BODY|CATEGORY|SUB_CATEGORY|AREA|LAT|LONG
31-Aug-15|BWSSB|Sewage|Problem| Vijnana Nagar|12.978|77.682
2-Sep-15|BBMP|Cleanliness|Garbage| Marathahalli|12.951|77.700
2-Sep-15|Other|Other|Other| Suddagunte Palya|12.983|77.655
2-Sep-15|BBMP|Animals|StrayAnimal| Uttarahalli|12.907|77.552
2-Sep-15|Other|Other|Other| Dodda Nekkundi|12.975|77.691
2-Sep-15|BBMP|Road|Pothole| Nagavara|13.046|77.606
2-Sep-15|BBMP|Cleanliness|Garbage| Konena Agrahara|12.958|77.661
2-Sep-15|BBMP|Cleanliness|Garbage| Shettihalli|13.515|76.244
2-Sep-15|BTP|Traffic|TrafficJam| Chickpet|12.971|77.581
2-Sep-15|BBMP|Road|Encroachment| Horamavu|13.027|77.661
2-Sep-15|BBMP|Cleanliness|Garbage| Madivala|12.923|77.617
2-Sep-15|BBMP|Road|Maintenance| Gayathri Nagar|13.001|77.558
2-Sep-15|BTP|Traffic|TrafficJam| Hsr Layout|12.910|77.645
2-Sep-15|BMTC|Others|Other| Dodda Nekkundi|12.975|77.691
2-Sep-15|Other|Other|Other| Varthur|12.939|77.747
2-Sep-15|BBMP|Road|Maintenance| Kadugodi|12.977|77.729
1-Sep-15|BMTC|Buses|MoreBuses| Benniganahalli|12.998|77.664
2-Sep-15|BBMP|Animals|StrayAnimal| Sriramamandira|12.946|77.591
2-Sep-15|BBMP|Road|Maintenance| Byatarayanapura|13.061|77.590
2-Sep-15|BBMP|Animals|StrayAnimal| Byatarayanapura|13.061|77.590
2-Sep-15|BBMP|Road|Pothole| Varthur|12.939|77.747
2-Sep-15|BMTC|Buses|MoreBuses| Hagadur|12.966|77.757
2-Sep-15|BBMP|Road|Pothole| Hosahalli|13.148|77.645
29-Aug-15|Other|Other|Other| J P Park|13.033|77.555
2-Sep-15|Other|Other|Other| Begur|12.870|77.628
2-Sep-15|BBMP|Road|Pothole| Begur|12.870|77.628
2-Sep-15|BBMP|Animals|StrayAnimal| Arekere|12.885|77.588
2-Sep-15|BBMP|Cleanliness|Garbage| Konena Agrahara|12.958|77.661
30-Aug-15|BMTC|Experience|RudeBehavior| Marathahalli|12.951|77.700
29-Aug-15|BTP|Traffic|TrafficJam| Hsr Layout|12.910|77.645
2-Sep-15|Other|Other|Other| Chamrajapet|12.972|77.595
28-Aug-15|BBMP|Animals|StrayAnimal| Vijnana Nagar|12.978|77.682
2-Sep-15|Other|Other|Other| Dodda Nekkundi|12.975|77.691
2-Sep-15|BWSSB|Sewage|Problem| Atturu|13.100|77.568
2-Sep-15|Other|Other|Other| Hmt|13.050|77.527
2-Sep-15|BMTC|Others|Other| Hoodi|12.978|77.638
2-Sep-15|BMTC|Buses|MoreBuses| Hoodi|12.978|77.638
2-Sep-15|BMTC|Buses|MoreBuses| Gandhi Nagar|12.979|77.575
2-Sep-15|Other|Other|Other| Sarakki|12.910|77.573
2-Sep-15|Other|Other|Other| Bellanduru|12.924|77.672
2-Sep-15|BTP|Traffic|TrafficJam| Vijnana Nagar|12.978|77.682
2-Sep-15|BTP|Traffic|TrafficJam| Bellanduru|12.924|77.672
2-Sep-15|BBMP|Road|Pothole| Basavanapura|13.013|77.713
2-Sep-15|Other|Other|Other| Jp Nagar|12.911|77.586
2-Sep-15|BBMP|Road|Maintenance| Bellanduru|12.924|77.672
2-Sep-15|BBMP|Road|Pothole| Sarakki|12.910|77.573
2-Sep-15|BTP|Traffic|TrafficJam| Bommanahalli|12.898|77.618
28-Aug-15|BBMP|Road|Damage| Bellanduru|12.924|77.672
2-Sep-15|BBMP|Road|Pothole| Bommanahalli|12.898|77.618
2-Sep-15|BBMP|Road|Pothole| Begur|12.870|77.628
27-Aug-15|BBMP|Road|Pothole| Hongasandra|12.893|77.628
2-Sep-15|BBMP|Road|Pothole| Nagavara|13.046|77.606
2-Sep-15|BBMP|Road|Pothole| Jp Nagar|12.911|77.586
2-Sep-15|BWSSB|Sewage|Problem| Begur|12.870|77.628
2-Sep-15|BBMP|Road|Pothole| Byatarayanapura|13.061|77.590
2-Sep-15|BBMP|Animals|StrayAnimal| Jeevanbhima Nagar|12.963|77.661
2-Sep-15|KSPCB|Pollution|Air| Dattatreya Temple|12.996|77.576
2-Sep-15|BMTC|Others|Other| Vasanthapura|12.894|77.552
2-Sep-15|Other|Other|Other| Bellanduru|12.924|77.672
2-Sep-15|BWSSB|Sewage|Problem| Kadugodi|12.977|77.729
2-Sep-15|KSPCB|Pollution|Air| Varthur|12.939|77.747
2-Sep-15|Other|Other|Other| Bilekahalli|12.897|77.611
2-Sep-15|Other|Other|Other| Bilekahalli|12.897|77.611
2-Sep-15|BTP|Traffic|TrafficJam| Bilekahalli|12.897|77.611
2-Sep-15|BBMP|Road|Damage| Dodda Nekkundi|12.975|77.691
2-Sep-15|BMTC|Infrastructure|BusShelter| Chowdeshwari|12.994|77.566
2-Sep-15|BTP|Traffic|TrafficJam| Marathahalli|12.951|77.700
2-Sep-15|BBMP|Animals|StrayAnimal| Anjanapura|12.685|77.272
2-Sep-15|BMTC|Infrastructure|BusShelter| Herohalli|12.992|77.489
2-Sep-15|BTP|Traffic|TrafficJam| Bellanduru|12.924|77.672
2-Sep-15|BTP|Traffic|TrafficJam| Marathahalli|12.951|77.700
28-Aug-15|BBMP|Cleanliness|Garbage| C V Raman Nagar|12.985|77.662
2-Sep-15|BBMP|Road|Damage| Other||
2-Sep-15|BBMP|Road|Maintenance| Puttenahalli|12.894|77.581
2-Sep-15|BMTC|Buses|MoreBuses| Begur|12.870|77.628
2-Sep-15|BMTC|Buses|MoreBuses| Mattikere|13.027|77.661
2-Sep-15|Other|Other|Other| Mahalakshimpuram|13.011|77.604
2-Sep-15|BBMP|Animals|StrayAnimal| Yelahanka Satellite Town|13.098|77.586
2-Sep-15|BBMP|Cleanliness|Garbage| Kammanahalli|13.019|77.635
2-Sep-15|BTP|Traffic|TrafficJam| Hoodi|12.978|77.638
5-Dec-15|BBMP|Road|Pothole| Bellanduru|12.924|77.672
2-Sep-15|BBMP|Road|Maintenance| Shanthi Nagar|12.954|77.596
2-Sep-15|BBMP|Road|Pothole| Hmt|13.050|77.527
29-Aug-15|BTP|Traffic|TrafficJam| Konankunte|12.884|77.565
29-Aug-15|KSPCB|Pollution|Water| Horamavu|13.027|77.661
29-Aug-15|Other|Other|Other| Jakkasandra|12.923|77.639
29-Aug-15|BTP|Traffic|TrafficJam| Madivala|12.923|77.617
29-Aug-15|BBMP|Cleanliness|Garbage| Agaram|12.964|77.621
29-Aug-15|KSPCB|Pollution|Air| Sampangiram Nagar|12.993|77.575
29-Aug-15|BTP|Violation|Parking| Laggere|13.008|77.522
29-Aug-15|BESCOM|Electricity|PowerOutage| Thanisandra|13.063|77.636
29-Aug-15|Other|Other|Other| Kadugondanahalli|13.017|77.622
28-Aug-15|BBMP|Road|Pothole| Aramane Nagara|13.014|77.583
29-Aug-15|BWSSB|Sewage|Problem| Jakkuru|13.078|77.599
29-Aug-15|BWSSB|Water|Problem| Hbr Layout|13.019|77.647
29-Aug-15|BBMP|Road|Encroachment| Horamavu|13.027|77.661
29-Aug-15|KSPCB|Pollution|Air| Vasanth Nagar|12.991|77.592
29-Aug-15|BBMP|Cleanliness|Garbage| Kadu Malleshwara||
29-Aug-15|BBMP|Road|Pothole| Marathahalli|12.951|77.700
29-Aug-15|BWSSB|Sewage|Problem| Dharmaraya Swamy Temple|12.956|77.740
29-Aug-15|BESCOM|Lights|Streelight| Thanisandra|13.063|77.636
29-Aug-15|BWSSB|Sewage|Problem| Thanisandra|13.063|77.636
29-Aug-15|BTP|Violation|Parking| Vijnana Nagar|12.978|77.682
29-Aug-15|BTP|Traffic|TrafficJam| Dodda Nekkundi|12.975|77.691
29-Aug-15|BBMP|Cleanliness|Garbage| Shantala Nagar|12.972|77.513
27-Aug-15|Other|Other|Other| Shantala Nagar|12.972|77.513
27-Aug-15|BWSSB|Water|Problem| Ramamurthy Nagar|13.015|77.678
27-Aug-15|Other|Other|Other| Girinagar|12.939|77.544
27-Aug-15|BTP|Traffic|TrafficJam| Girinagar|12.939|77.544
25-Aug-15|BBMP|Animals|StrayAnimal| Girinagar|12.939|77.544
27-Aug-15|Other|Other|Other| Jakkasandra|12.923|77.639
27-Aug-15|Other|Other|Other| Vijnanapura|13.003|77.672
27-Aug-15|BBMP|Road|Damage| Bellanduru|12.924|77.672
27-Aug-15|KSPCB|Pollution|Water| Sampangiram Nagar|12.993|77.575
27-Aug-15|Other|Other|Other| Sampangiram Nagar|12.993|77.575
27-Aug-15|BBMP|Road|Maintenance| Hoodi|12.978|77.638
27-Aug-15|BBMP|Cleanliness|Garbage| Dodda Nekkundi|12.975|77.691
27-Aug-15|BTP|Traffic|TrafficJam| Hagadur|12.966|77.757
27-Aug-15|BBMP|Cleanliness|Garbage| Other||
27-Aug-15|BBMP|Road|Pothole| Bellanduru|12.924|77.672
27-Aug-15|BBMP|Road|Pothole| Konena Agrahara|12.958|77.661
26-Aug-15|BWSSB|Sewage|Problem| Kadugodi|12.977|77.729
27-Aug-15|BMTC|Others|Other| Madivala|12.923|77.617
27-Aug-15|BBMP|Cleanliness|Garbage| Varthur|12.939|77.747
27-Aug-15|BBMP|Animals|StrayAnimal| Garudachar Palya|12.988|77.701
27-Aug-15|Other|Other|Other| Hoodi|12.978|77.638
27-Aug-15|BBMP|Road|Pothole| Vijnanapura|13.003|77.672
27-Aug-15|Other|Other|Other| Agaram|12.964|77.621
27-Aug-15|BTP|Traffic|TrafficJam| Dodda Nekkundi|12.975|77.691
27-Aug-15|BTP|Traffic|TrafficJam| Dodda Nekkundi|12.975|77.691
27-Aug-15|BTP|Violation|Parking| Other||
27-Aug-15|BBMP|Road|Pothole| Bellanduru|12.924|77.672
26-Aug-15|BTP|Traffic|TrafficJam| Marathahalli|12.951|77.700
26-Aug-15|BESCOM|Electricity|PowerOutage| Gottigere|12.857|77.588
26-Aug-15|BESCOM|Lights|Streelight| Other||
26-Aug-15|BBMP|Animals|StrayAnimal| Basavanapura|13.013|77.713
5-Oct-15|BMTC|Infrastructure|BusShelter| Marathahalli|12.951|77.700
26-Aug-15|BBMP|Cleanliness|Garbage| Hagadur|12.966|77.757
26-Aug-15|BMTC|Buses|MoreBuses| Konena Agrahara|12.958|77.661
24-Aug-15|BBMP|Animals|StrayAnimal| Kuvempu Nagar|12.915|77.613
26-Aug-15|BBMP|Road|Damage| Shantala Nagar|12.972|77.513
26-Aug-15|BBMP|Road|Damage| Sampangiram Nagar|12.993|77.575
26-Aug-15|BMTC|Buses|MoreBuses| Gurappanpalya|12.920|77.607
26-Aug-15|BWSSB|Water|Problem| Dodda Nekkundi|12.975|77.691
26-Aug-15|BBMP|Cleanliness|Garbage| Kacharkanahalli|13.016|77.632
26-Aug-15|BMTC|Others|Other| Sampangiram Nagar|12.993|77.575
26-Aug-15|BMTC|Buses|MoreBuses| Dodda Nekkundi|12.975|77.691
26-Aug-15|BMTC|Buses|MoreBuses| Bharathi Nagar|13.015|77.722
26-Aug-15|BMTC|Buses|MoreBuses| Okalipuram|12.984|77.566
26-Aug-15|BTP|Traffic|TrafficJam| Marathahalli|12.951|77.700
24-Aug-15|BBMP|Road|Pothole| Other||
26-Aug-15|BBMP|Cleanliness|Garbage| Sriramamandira|12.946|77.591
26-Aug-15|BMTC|Buses|MoreBuses| Banasavadi|13.056|77.496
26-Aug-15|BMTC|Others|Other| Madivala|12.923|77.617
26-Aug-15|BMTC|Buses|MoreBuses| Hsr Layout|12.910|77.645
26-Aug-15|BMTC|Buses|MoreBuses| Ejipura|12.939|77.629
26-Aug-15|BMTC|Buses|MoreBuses| Yelchenahalli|12.900|77.571
26-Aug-15|BBMP|Road|Pothole| K R Puram|13.008|77.732
26-Aug-15|BMTC|Buses|MoreBuses| Varthur|12.939|77.747
26-Aug-15|BMTC|Buses|MoreBuses| Kadugondanahalli|13.017|77.622
25-Aug-15|BMTC|Buses|MoreBuses| Dodda Nekkundi|12.975|77.691
26-Aug-15|BMTC|Buses|MoreBuses| Shantala Nagar|12.972|77.513
26-Aug-15|Other|Other|Other| Dattatreya Temple|12.996|77.576
26-Aug-15|Other|Other|Other| Katriguppe|12.929|77.557
26-Aug-15|BBMP|Cleanliness|Garbage| Gottigere|12.857|77.588
26-Aug-15|BBMP|Cleanliness|Garbage| Gottigere|12.857|77.588
26-Aug-15|BBMP|Cleanliness|Garbage| Kammanahalli|13.019|77.635
26-Aug-15|BBMP|Cleanliness|Garbage| Koramangala|12.932|77.623
22-Aug-15|BBMP|Cleanliness|Garbage| Jeevanbhima Nagar|12.963|77.661
26-Aug-15|BMTC|Buses|MoreBuses| Shettihalli|13.515|76.244
26-Aug-15|BBMP|Cleanliness|Garbage| Rajarajeshwari Nagar|12.924|77.522
26-Aug-15|BTP|Traffic|TrafficJam| Btm Layout|12.913|77.609
26-Aug-15|BBMP|Road|Maintenance| Koramangala|12.932|77.623
26-Aug-15|BBMP|Cleanliness|Garbage| Konankunte|12.884|77.565
26-Aug-15|BMTC|Buses|MoreBuses| Bilekahalli|12.897|77.611
26-Aug-15|BMTC|Buses|MoreBuses| Dodda Nekkundi|12.975|77.691
26-Aug-15|BMTC|Others|Other| Kempegowda|12.977|77.571
26-Aug-15|BBMP|Animals|StrayAnimal| Ejipura|12.939|77.629
26-Aug-15|BMTC|Experience|RudeBehavior| Kadugodi|12.977|77.729
26-Aug-15|BBMP|Cleanliness|Garbage| Shettihalli|13.515|76.244
26-Aug-15|Other|Other|Other| New Tippasandra|12.977|77.649
26-Aug-15|BBMP|Cleanliness|Garbage| Bellanduru|12.924|77.672
26-Aug-15|BBMP|Cleanliness|Garbage| Dharmaraya Swamy Temple|12.956|77.740
26-Aug-15|BBMP|Cleanliness|Garbage| Jalahalli|13.052|77.542
26-Aug-15|BBMP|Cleanliness|Garbage| Madivala|12.923|77.617
22-Aug-15|BBMP|Cleanliness|Garbage| Konena Agrahara|12.958|77.661
26-Aug-15|BBMP|Cleanliness|Garbage| Mangamannapalya|12.9027|77.635
26-Aug-15|BBMP|Road|Maintenance| Pattabhiram Nagar|12.925|77.591
26-Aug-15|BBMP|Road|Damage| Konena Agrahara|12.958|77.661
26-Aug-15|BBMP|Cleanliness|Garbage| Ejipura|12.939|77.629
26-Aug-15|Other|Other|Other| Btm Layout|12.913|77.609
26-Aug-15|BMTC|Buses|MoreBuses| Other||
26-Aug-15|BBMP|Road|Pothole| Jp Nagar|12.911|77.586
26-Aug-15|BMTC|Others|Other| Atturu|13.100|77.568
22-Aug-15|BBMP|Cleanliness|Garbage| Begur|12.870|77.628
26-Aug-15|BBMP|Cleanliness|Garbage| Begur|12.870|77.628
26-Aug-15|BBMP|Animals|StrayAnimal| Vidyaranyapura|13.075|77.559
26-Aug-15|BBMP|Cleanliness|Garbage| Kadugodi|12.977|77.729
26-Aug-15|BBMP|Road|Maintenance| Bellanduru|12.924|77.672
26-Aug-15|BBMP|Cleanliness|Garbage| C V Raman Nagar|12.985|77.662
26-Aug-15|BMTC|Buses|MoreBuses| Ullalu|12.810|74.863
26-Aug-15|BESCOM|Lights|Streelight| Begur|12.870|77.628
26-Aug-15|BESCOM|Lights|Streelight| Arekere|12.885|77.588
26-Aug-15|BMTC|Buses|MoreBuses| Ullalu|12.810|74.863
26-Aug-15|BMTC|Buses|MoreBuses| Dodda Nekkundi|12.975|77.691
26-Aug-15|BMTC|Buses|MoreBuses| Begur|12.870|77.628
26-Aug-15|BMTC|Buses|MoreBuses| Other||
26-Aug-15|BMTC|Others|Other| Madivala|12.923|77.617
21-Aug-15|BESCOM|Lights|Streelight| Sampangiram Nagar|12.993|77.575
26-Aug-15|BMTC|Buses|MoreBuses| Mattikere|13.027|77.661
26-Aug-15|BMTC|Infrastructure|BusShelter| Other||
26-Aug-15|BESCOM|Lights|Streelight| Arekere|12.885|77.588
26-Aug-15|BMTC|Infrastructure|BusShelter| Madivala|12.923|77.617
26-Aug-15|BBMP|Animals|StrayAnimal| Vasanth Nagar|12.991|77.592
26-Aug-15|Other|Other|Other| Bellanduru|12.924|77.672
26-Aug-15|BBMP|Cleanliness|Garbage| Rajarajeshwari Nagar|12.924|77.522
26-Aug-15|BBMP|Road|Pothole| Hagadur|12.966|77.757
26-Aug-15|BMTC|Buses|MoreBuses| Chikallasandra|12.913|77.546
26-Aug-15|BMTC|Buses|MoreBuses| Shankar Matt|12.953|77.570
26-Aug-15|BMTC|Infrastructure|BusShelter| Horamavu|13.027|77.661
26-Aug-15|BBMP|Cleanliness|Garbage| Rajarajeshwari Nagar|12.924|77.522
26-Aug-15|BMTC|Buses|MoreBuses| Gayathri Nagar|13.001|77.558
26-Aug-15|BMTC|Others|Other| Madivala|12.923|77.617
26-Aug-15|BMTC|Buses|MoreBuses| Nagavara|13.046|77.606
26-Aug-15|Other|Other|Other| Btm Layout|12.913|77.609
26-Aug-15|BMTC|Buses|MoreBuses| Aramane Nagara|13.014|77.583
26-Aug-15|BMTC|Infrastructure|BusShelter| Shantala Nagar|12.972|77.513
26-Aug-15|BMTC|Buses|MoreBuses| Chikallasandra|12.913|77.546
21-Aug-15|BBMP|Cleanliness|Garbage| Rajarajeshwari Nagar|12.924|77.522
26-Aug-15|KSPCB|Pollution|Air| Sarakki|12.910|77.573
26-Aug-15|Other|Other|Other| Hemmigepura|12.886|77.490
21-Aug-15|Other|Other|Other| Sriramamandira|12.946|77.591
26-Aug-15|BBMP|Road|Damage| Bellanduru|12.924|77.672
26-Aug-15|BBMP|Road|Pothole| Padmanabha Nagar|12.918|77.556
26-Aug-15|BTP|Traffic|TrafficJam| Koramangala|12.932|77.623
26-Aug-15|BWSSB|Sewage|Problem| Vidya Peeta|12.933|77.561
26-Aug-15|BBMP|Road|Pothole| Bommanahalli|12.898|77.618
26-Aug-15|BTP|Traffic|TrafficJam| Marenahalli|13.119|77.679
26-Aug-15|BBMP|Cleanliness|Garbage| Other||
21-Aug-15|BTP|Traffic|TrafficJam| Dodda Nekkundi|12.975|77.691
26-Aug-15|BBMP|Cleanliness|Garbage| Ejipura|12.939|77.629
26-Aug-15|BMTC|Others|Other| Hombegowda Nagar|12.945|77.597
26-Aug-15|BBMP|Road|Maintenance| Byatarayanapura|13.061|77.590
26-Aug-15|BWSSB|Sewage|Problem| Malleswaram|13.008|77.565
26-Aug-15|BTP|Traffic|TrafficJam| Jp Nagar|12.911|77.586
26-Aug-15|BBMP|Road|Pothole| New Tippasandra|12.977|77.649
26-Aug-15|Other|Other|Other| Hoodi|12.978|77.638
26-Aug-15|BTP|Traffic|TrafficJam| Pattabhiram Nagar|12.925|77.591
26-Aug-15|BMTC|Infrastructure|BusShelter| Gandhi Nagar|12.979|77.575
26-Aug-15|BTP|Traffic|TrafficJam| Madivala|12.923|77.617
26-Aug-15|BBMP|Road|Maintenance| Hmt|13.050|77.527
26-Aug-15|BTP|Traffic|TrafficJam| Hongasandra|12.893|77.628
21-Aug-15|Other|Other|Other| New Tippasandra|12.977|77.649
26-Aug-15|BWSSB|Sewage|Problem| Horamavu|13.027|77.661
26-Aug-15|BBMP|Road|Maintenance| Ulsoor|12.982|77.619
26-Aug-15|BBMP|Cleanliness|Garbage| Domlur|12.960|77.641
26-Aug-15|BBMP|Cleanliness|Garbage| Bellanduru|12.924|77.672
26-Aug-15|BTP|Traffic|TrafficJam| Varthur|12.939|77.747
21-Aug-15|BTP|Traffic|TrafficJam| Pattabhiram Nagar|12.925|77.591
26-Aug-15|BESCOM|Lights|Streelight| Ramamurthy Nagar|13.015|77.678
25-Aug-15|BESCOM|Lights|Streelight| Dodda Nekkundi|12.975|77.691
25-Aug-15|BTP|Traffic|TrafficJam| Pattabhiram Nagar|12.925|77.591
25-Aug-15|BTP|Traffic|TrafficJam| Bellanduru|12.924|77.672
25-Aug-15|BTP|Traffic|TrafficJam| Arekere|12.885|77.588
25-Aug-15|BTP|Traffic|TrafficJam| Horamavu|13.027|77.661
25-Aug-15|BESCOM|Lights|Streelight| Jayanagar East|12.933|77.584
25-Aug-15|BBMP|Animals|StrayAnimal| Banasavadi|13.056|77.496
25-Aug-15|BBMP|Road|Damage| Varthur|12.939|77.747
25-Aug-15|BBMP|Animals|StrayAnimal| Shettihalli|13.515|76.244
25-Aug-15|BMTC|Others|Other| Suddagunte Palya|12.983|77.655
25-Aug-15|BBMP|Cleanliness|Garbage| Hsr Layout|12.910|77.645
25-Aug-15|BBMP|Animals|StrayAnimal| Hsr Layout|12.910|77.645
25-Aug-15|Other|Other|Other| Dodda Nekkundi|12.975|77.691
25-Aug-15|BBMP|Road|Damage| Dodda Nekkundi|12.975|77.691
25-Aug-15|BBMP|Animals|StrayAnimal| Ramamurthy Nagar|13.015|77.678
25-Aug-15|BBMP|Animals|StrayAnimal| Domlur|12.960|77.641
25-Aug-15|BTP|Traffic|TrafficJam| A Narayanapura|12.993|77.673
25-Aug-15|BBMP|Road|Pothole| Mangamannapalya|12.9027|77.635
24-Aug-15|BMTC|Infrastructure|BusShelter| Peenya Industrial Area|13.009|77.500
25-Aug-15|Other|Other|Other| Rajarajeshwari Nagar|12.924|77.522
25-Aug-15|BTP|Traffic|TrafficJam| Laggere|13.008|77.522
25-Aug-15|Other|Other|Other| Deepanjali Nagar|12.950|77.530
25-Aug-15|BTP|Traffic|TrafficJam| Dodda Nekkundi|12.975|77.691
